scenario,sigma_x_me_folder,sigma_y_me_folder,n_per_habitat_folder,n_habitats_folder,sim_id,beta_true,n,sigma_x_me,sigma_y_me,n_per_habitat,n_habitats,beta_ols,se_ols,beta_majoraxis,beta_rma,beta_deming_std,beta_deming_wtd,beta_deming_mcr,beta_theilsen,beta_siegel,beta_lmer,se_lmer,beta_lmer_slopes,se_lmer_slopes,beta_nlme,beta_rf,beta_glmnet,beta_nnet,beta_keras,beta_keras_denoised,beta_ensemble,time_total,sd_beta_actual,sd_alpha_actual,cor_alpha_beta_actual
habitat_visualization_output_R_20_40_n36_12,20,40,36,12,11,1.4,432,0.2,0.4,36,12,1.03897160449725,0.0448903581463968,1.55399390627665,1.39498172905298,1.24245938821576,1.24245938821576,1.77333565734194,1.13342017875891,1.04716998352223,0.959724859921914,0.0606453703940666,1.04324438667818,0.0952780790014611,5.64631585703372,0.171614865760269,0.759988207546466,1.77937487373707,0.358590160962194,1.63748365176431,1.06548704774215,37.6860828399658,0.371227861682366,0.316860796422509,-0.0803518688535972
habitat_visualization_output_R_20_40_n36_12,20,40,36,12,12,0.6,432,0.2,0.4,36,12,0.267460554550069,0.0584163934871673,2.42691935355281,1.24052384511572,0.415918924900801,0.415918924900801,4.87035710263484,0.172684914538898,0.19855354835715,0.443242483465326,0.062966067883981,0.458471442555616,0.146182510971345,0.469015573071174,0.0623763780770938,0.528617407642701,0.612526416100163,0.322969455970451,0.272231040357807,0.290252978063605,33.8674108982086,0.533623705395513,0.382660194792609,-0.40730449314588
habitat_visualization_output_R_20_40_n36_12,20,40,36,12,12,1,432,0.2,0.4,36,12,1.17661376902542,0.0584711992816937,2.06129752574254,1.68953805935208,1.57162189605867,1.57162189605867,2.32128747754682,1.03957777918402,1.11291003108803,0.80884478798657,0.0606231742098898,0.782092064899554,0.102713786388398,2.52943616947864,0.203476391490701,0.464817723512319,-7.26373675689785,0.329853343544528,1.16252166478995,1.05603769052052,36.668142080307,0.363531873722226,0.401681025543583,0.111145565882732
habitat_visualization_output_R_20_40_n36_12,20,40,36,12,12,1.4,432,0.2,0.4,36,12,1.13914327641905,0.0481643532218868,1.71877314076573,1.51497970955465,1.38709404559643,1.38709404559643,1.92520838911131,1.1255901557605,1.13474932958562,1.27342119028434,0.0620339382408114,1.2849272135515,0.105904239570015,0.923259579889193,0.249516197326785,0.823960883471969,3.88452500488916,0.354934638366103,1.03265391123392,1.0078832054752,34.0170488357544,0.434586706598599,0.538252958000923,-0.456989597935604
habitat_visualization_output_R_20_40_n36_12,20,40,36,12,13,0.6,432,0.2,0.4,36,12,0.444169462467067,0.0344977614465595,0.724730340323313,0.842037763798326,0.505383453249603,0.505383453249603,1.23575669253444,0.429117987969012,0.455016069921498,0.419598605150321,0.0505868250987976,0.39701770958536,0.0771550074918384,0.540199928909562,0.0798876207527881,0.202908564134057,8.087373677154,0.223072035470977,0.444478109423375,0.409244209716007,33.4216458797455,0.252535306542235,0.370534268885925,-0.165123407755286
habitat_visualization_output_R_20_40_n36_12,20,40,36,12,13,1,432,0.2,0.4,36,12,1.25005095651946,0.0419130060769754,1.65763344278293,1.52250071514299,1.43735717035932,1.43735717035932,1.79371485563066,1.26760132247379,1.26777154933413,0.949052677441601,0.0568914672429855,0.973805276865668,0.0933703222199155,1.19560453345879,0.31963882017812,0.674757566699641,2.17360244059009,0.243442845065147,1.6162260102277,1.17817485595168,34.3604900836945,0.367384657013127,0.4596780857065,-0.608658655426515
habitat_visualization_output_R_20_40_n36_12,20,40,36,12,13,1.4,432,0.2,0.4,36,12,1.22526651267541,0.0442733569020978,1.68905914354586,1.53105649261463,1.43535174010819,1.43535174010819,1.84465219341911,1.09415897724253,1.19792782606955,1.18408169095148,0.0583275083496093,1.18402156102327,0.0763404591819422,1.55650280801546,0.169016280876061,0.835003106379388,-6.09021458308804,0.22249837545678,1.64007696020572,1.12347051313773,35.4072308540344,0.339974864753901,0.428935630480761,-0.156324684705858
habitat_visualization_output_R_20_40_n36_12,20,40,36,12,14,0.6,432,0.2,0.4,36,12,0.13177791030409,0.0549091102287163,2.74564346081348,1.14621982345059,0.19437419151231,0.19437419151231,8.10367425435023,0.0152933193725346,0.0505851081928757,0.361741543299186,0.0614430858037163,0.401441599692123,0.142215566453696,0.226936571788673,0.0562431450160612,0.376455851954706,1.61043654627153,0.276250678114593,0.142860456190156,0.160301276227442,32.7357449531555,0.517641076599882,0.239311480381322,-0.584117590760559
habitat_visualization_output_R_20_40_n36_12,20,40,36,12,14,1,432,0.2,0.4,36,12,0.792736072020476,0.0427781001142117,1.29569079767335,1.18967045652,0.950022486564858,0.950022486564858,1.62393882587727,0.799636985998799,0.778528550965656,0.934831437116381,0.0577612696258275,0.890341807047276,0.0887761699519593,0.643130612202429,0.1368753038106,0.647388566404444,1.0499681299304,0.376846878323704,1.65121871310087,0.842986644116237,32.204283952713,0.35620583575016,0.266898794000139,-0.288506819071237
habitat_visualization_output_R_20_40_n36_12,20,40,36,12,14,1.4,432,0.2,0.4,36,12,1.111339207125,0.0643407028830248,2.25644423531432,1.73642075365113,1.6054118966393,1.6054118966393,2.58484803551815,1.19355992387087,1.12290581221254,1.26841632001746,0.0650693739852092,1.30131848267315,0.105114033021047,0.771549093833107,0.287939181573039,1.03646539266392,140.229262172207,0.295166064053774,1.41700309195893,1.12449603672958,31.8669309616089,0.500473234622581,0.30209906861997,-0.0014832816086193
