scenario,n_obs,sigma_x_me,sigma_y_me,error_ratio,total_error,beta_true,method,n_simulations,rmse,bias,mae,mape,mse,variance,skewness,kurtosis,quantile_loss_05,huber_loss,consistency_01,consistency_005,relative_bias,cv,bias_squared,bias_proportion,variance_proportion,finite_sample_bias_correction,coverage_95,coverage_90,ci_width_95,ci_width_90,rejection_rate_05
n36_mex20_mey40,36,0.2,0.4,2.0,0.6000000000000001,1.0,deming,300,0.24971353825579023,-0.21690049116574514,0.2196289300668245,21.96289300668245,0.062356851188226016,0.015362235572191825,-0.22728889974616723,0.10232174803839111,0.10981446503341225,0.031178425594113008,0.16666666666666666,0.06666666666666667,-0.21690049116574514,0.15827424797236395,0.047045823067941486,0.7544611726132909,0.2463600274783032,-7.808417681966825,,,,,
n36_mex20_mey40,36,0.2,0.4,2.0,0.6000000000000001,1.0,theilsen,300,0.12570268602632823,-0.04645983138829521,0.10093009346602258,10.093009346602258,0.015801165274233652,0.01368827693137608,0.14940315661412606,0.0012426303633463753,0.05046504673301129,0.007900582637116826,0.5766666666666667,0.2866666666666667,-0.04645983138829521,0.12269741094670397,0.0021585159326288207,0.1366048576270909,0.8662827515447246,-1.6725539299786276,,,,,
n36_mex20_mey40,36,0.2,0.4,2.0,0.6000000000000001,1.0,huber,300,0.12488427683635243,-0.050502549162864355,0.10079866695137081,10.079866695137081,0.015596082600938714,0.013089205815041322,0.1320295230892446,-0.16190463798618326,0.050399333475685405,0.007798041300469357,0.57,0.30333333333333334,-0.050502549162864355,0.12049328514587546,0.002550507471947531,0.16353513489304156,0.8392624064618313,-1.8180917698631167,,,,,
n36_mex20_mey40,36,0.2,0.4,2.0,0.6000000000000001,1.0,quantile,300,0.1456667407112013,-0.0497220759623321,0.11337863006537646,11.337863006537646,0.021218799349424354,0.018809211884368324,-0.11656181946761865,0.14110368953715957,0.05668931503268823,0.010609399674712177,0.53,0.3,-0.0497220759623321,0.14432270466431008,0.0024722848380039236,0.11651388927766991,0.8864409137682241,-1.7899947346439555,,,,,
n36_mex20_mey40,36,0.2,0.4,2.0,0.6000000000000001,1.0,sma,300,0.17843717983534885,0.14459743171541012,0.14904740728921362,14.904740728921361,0.03183982714759263,0.010967969788193914,0.4576527575512307,0.35305382813133734,0.07452370364460681,0.015919913573796313,0.36,0.17,0.14459743171541012,0.09149773759018792,0.02090841725869269,0.6566749612606975,0.3444732830160226,5.2055075417547645,,,,,
n36_mex20_mey40,36,0.2,0.4,2.0,0.6000000000000001,1.0,majoraxis,300,0.21074403061106495,0.1708948982538238,0.17628269443846545,17.628269443846545,0.04441304643819748,0.015258842999009382,0.4669571868581106,0.4888911167507013,0.08814134721923272,0.02220652321909874,0.30333333333333334,0.12333333333333334,0.1708948982538238,0.10549767498687698,0.029205066249184793,0.6575785403468055,0.3435666819262819,6.1522163371376575,,,,,
n36_mex20_mey40,36,0.2,0.4,2.0,0.6000000000000001,1.0,rma,300,0.17843717983534885,0.14459743171541012,0.14904740728921362,14.904740728921361,0.03183982714759263,0.010967969788193914,0.4576527575512307,0.35305382813133734,0.07452370364460681,0.015919913573796313,0.36,0.17,0.14459743171541012,0.09149773759018792,0.02090841725869269,0.6566749612606975,0.3444732830160226,5.2055075417547645,,,,,
n36_mex20_mey40,36,0.2,0.4,2.0,0.6000000000000001,1.0,pbablok,300,0.12256773728440216,-0.047904853998142115,0.0988532561388634,9.885325613886339,0.015022850223018228,0.012770543665319314,0.15179742120596457,-0.13756304102222616,0.0494266280694317,0.007511425111509114,0.5866666666666667,0.30666666666666664,-0.047904853998142115,0.1186927909943122,0.0022948750365833124,0.15275896401250622,0.8500746180476527,-1.724574743933116,,,,,
n36_mex20_mey40,36,0.2,0.4,2.0,0.6000000000000001,1.0,ridge,300,0.25993291771050947,-0.23924539895917263,0.23969879332218805,23.969879332218806,0.0675651217094985,0.010361298447857676,-0.13953186832476,0.08770483839343424,0.11984939666109402,0.03378256085474925,0.09,0.03333333333333333,-0.23924539895917263,0.13380196886529155,0.05723836092313368,0.8471584076949418,0.15335276819905522,-8.612834362530215,,,,,
n36_mex20_mey40,36,0.2,0.4,2.0,0.6000000000000001,1.0,lasso,300,0.2508866830271548,-0.22811332670803844,0.22893085477586433,22.893085477586432,0.06294412772036803,0.0109449209684546,-0.13953186832476172,0.08770483839343424,0.11446542738793217,0.031472063860184016,0.10333333333333333,0.04,-0.22811332670803844,0.13553540945307435,0.052035689821808284,0.826696495866605,0.17388311451511215,-8.212079761489385,,,,,
