method,method_col,beta_true,sigma_x_me,sigma_y_me,error_ratio,n,mean_bias,rmse,sd_bias,sd_rmse,n_sim
Huber,beta_huber,1.0,40.0,20.0,0.5,36,-0.18480910955318394,0.18949235196728728,0.09698739736159602,0.08745140408337185,300
Huber,beta_huber,1.0,40.0,20.0,0.5,72,-0.18828175299259362,0.18828175299259362,0.06665194033896249,0.06665194033896249,300
Huber,beta_huber,1.4,20.0,40.0,2.0,36,-0.07965499341252065,0.12033637586339146,0.12336735112993483,0.08400218742183266,300
Huber,beta_huber,1.4,20.0,40.0,2.0,72,-0.08422722803923381,0.09920095725440058,0.08841520409182525,0.0711439271554817,300
Huber,beta_huber,1.4,30.0,30.0,1.0,36,-0.16009932842123,0.1721017484107937,0.12179464330364656,0.10408353913537036,300
Huber,beta_huber,1.4,30.0,30.0,1.0,72,-0.17044738964056505,0.17170459615709477,0.08572967963759423,0.08317441684033237,300
Huber,beta_huber,1.4,40.0,20.0,0.5,36,-0.25659645412448173,0.25793050403876283,0.12202942768170236,0.119174162082994,300
Huber,beta_huber,1.4,40.0,20.0,0.5,72,-0.2710940218142233,0.2710940218142233,0.08508392340498375,0.08508392340498375,300
LMM (Random Intercept),beta_lmer_int,0.6,20.0,40.0,2.0,36,-0.03385893086542168,0.08926422445717012,0.10620090298095824,0.06658935545766996,300
LMM (Random Intercept),beta_lmer_int,0.6,20.0,40.0,2.0,72,-0.03240039383806198,0.06370576723144843,0.07510306805115771,0.05120321507831705,300
LMM (Random Intercept),beta_lmer_int,0.6,30.0,30.0,1.0,36,-0.06804298259334188,0.09188868934053689,0.09119928741897598,0.06701396482867997,300
LMM (Random Intercept),beta_lmer_int,0.6,30.0,30.0,1.0,72,-0.06980473189392726,0.07742529587705457,0.0636194074582539,0.05405275877225376,300
LMM (Random Intercept),beta_lmer_int,0.6,40.0,20.0,0.5,36,-0.10986082017614753,0.11643537732004146,0.07905334117276788,0.06896852585093924,300
LMM (Random Intercept),beta_lmer_int,0.6,40.0,20.0,0.5,72,-0.11452138507996357,0.11474071209694855,0.05494571418092757,0.05448467640684246,300
LMM (Random Intercept),beta_lmer_int,1.0,20.0,40.0,2.0,36,-0.050762883648123404,0.0990156556942596,0.11224433795906723,0.07312585282056037,300
LMM (Random Intercept),beta_lmer_int,1.0,20.0,40.0,2.0,72,-0.05407937999799729,0.07688561265634085,0.0756818118521741,0.05225829306900145,300
LMM (Random Intercept),beta_lmer_int,1.0,30.0,30.0,1.0,36,-0.11349544327456322,0.13051991996344622,0.10268888118864487,0.07985536110907702,300
LMM (Random Intercept),beta_lmer_int,1.0,30.0,30.0,1.0,72,-0.1157769348637982,0.11898753238589833,0.06870485214324933,0.06296111213259505,300
LMM (Random Intercept),beta_lmer_int,1.0,40.0,20.0,0.5,36,-0.18885094328448998,0.19265383714766487,0.09511224107254958,0.08712441658596129,300
LMM (Random Intercept),beta_lmer_int,1.0,40.0,20.0,0.5,72,-0.18966259367650146,0.18966259367650146,0.06383310648826722,0.06383310648826722,300
LMM (Random Intercept),beta_lmer_int,1.4,20.0,40.0,2.0,36,-0.07809740191576604,0.11463861001346105,0.11691786392376789,0.08126146471204226,300
LMM (Random Intercept),beta_lmer_int,1.4,20.0,40.0,2.0,72,-0.08083510142433976,0.09560768093352885,0.08519176650861002,0.0681351936085708,300
LMM (Random Intercept),beta_lmer_int,1.4,30.0,30.0,1.0,36,-0.1606178276578678,0.16971817577923984,0.11426202329454566,0.10019772078248583,300
LMM (Random Intercept),beta_lmer_int,1.4,30.0,30.0,1.0,72,-0.16801420426611266,0.16926000256900448,0.08168756197194306,0.07906501676946077,300
LMM (Random Intercept),beta_lmer_int,1.4,40.0,20.0,0.5,36,-0.2614881543346426,0.26157253957406057,0.11374698532817357,0.11355214858654167,300
LMM (Random Intercept),beta_lmer_int,1.4,40.0,20.0,0.5,72,-0.27177256419206686,0.27177256419206686,0.081756758082377,0.081756758082377,300
LMM (Random Slope),beta_lmer_slope,0.6,20.0,40.0,2.0,36,-0.03385893086542168,0.08926422445717012,0.10620090298095824,0.06658935545766996,300
LMM (Random Slope),beta_lmer_slope,0.6,20.0,40.0,2.0,72,-0.03240039383806198,0.06370576723144843,0.07510306805115771,0.05120321507831705,300
LMM (Random Slope),beta_lmer_slope,0.6,30.0,30.0,1.0,36,-0.06804298259334188,0.09188868934053689,0.09119928741897598,0.06701396482867997,300
LMM (Random Slope),beta_lmer_slope,0.6,30.0,30.0,1.0,72,-0.06980473189392726,0.07742529587705457,0.0636194074582539,0.05405275877225376,300
LMM (Random Slope),beta_lmer_slope,0.6,40.0,20.0,0.5,36,-0.10986082017614753,0.11643537732004146,0.07905334117276788,0.06896852585093924,300
LMM (Random Slope),beta_lmer_slope,0.6,40.0,20.0,0.5,72,-0.11452138507996357,0.11474071209694855,0.05494571418092757,0.05448467640684246,300
LMM (Random Slope),beta_lmer_slope,1.0,20.0,40.0,2.0,36,-0.050762883648123404,0.0990156556942596,0.11224433795906723,0.07312585282056037,300
LMM (Random Slope),beta_lmer_slope,1.0,20.0,40.0,2.0,72,-0.05407937999799729,0.07688561265634085,0.0756818118521741,0.05225829306900145,300
LMM (Random Slope),beta_lmer_slope,1.0,30.0,30.0,1.0,36,-0.11349544327456322,0.13051991996344622,0.10268888118864487,0.07985536110907702,300
LMM (Random Slope),beta_lmer_slope,1.0,30.0,30.0,1.0,72,-0.1157769348637982,0.11898753238589833,0.06870485214324933,0.06296111213259505,300
LMM (Random Slope),beta_lmer_slope,1.0,40.0,20.0,0.5,36,-0.18885094328448998,0.19265383714766487,0.09511224107254958,0.08712441658596129,300
LMM (Random Slope),beta_lmer_slope,1.0,40.0,20.0,0.5,72,-0.18966259367650146,0.18966259367650146,0.06383310648826722,0.06383310648826722,300
LMM (Random Slope),beta_lmer_slope,1.4,20.0,40.0,2.0,36,-0.07809740191576604,0.11463861001346105,0.11691786392376789,0.08126146471204226,300
LMM (Random Slope),beta_lmer_slope,1.4,20.0,40.0,2.0,72,-0.08083510142433976,0.09560768093352885,0.08519176650861002,0.0681351936085708,300
LMM (Random Slope),beta_lmer_slope,1.4,30.0,30.0,1.0,36,-0.1606178276578678,0.16971817577923984,0.11426202329454566,0.10019772078248583,300
LMM (Random Slope),beta_lmer_slope,1.4,30.0,30.0,1.0,72,-0.16801420426611266,0.16926000256900448,0.08168756197194306,0.07906501676946077,300
LMM (Random Slope),beta_lmer_slope,1.4,40.0,20.0,0.5,36,-0.2614881543346426,0.26157253957406057,0.11374698532817357,0.11355214858654167,300
LMM (Random Slope),beta_lmer_slope,1.4,40.0,20.0,0.5,72,-0.27177256419206686,0.27177256419206686,0.081756758082377,0.081756758082377,300
Lasso,beta_lasso,0.6,20.0,40.0,2.0,36,-0.14367496356507406,0.1493572962269097,0.09260357163879807,0.08309479996049822,300
Lasso,beta_lasso,0.6,20.0,40.0,2.0,72,-0.1375611568366538,0.1389256747019473,0.06876453528257598,0.06595474444508485,300
Lasso,beta_lasso,0.6,30.0,30.0,1.0,36,-0.15777175525728673,0.15971700251073973,0.08110118571581172,0.07718641498501676,300
Lasso,beta_lasso,0.6,30.0,30.0,1.0,72,-0.15371272148025536,0.15406059123644883,0.060166110576124705,0.05926666649632505,300
Lasso,beta_lasso,0.6,40.0,20.0,0.5,36,-0.17562295411291298,0.1761793951181682,0.07225176830421455,0.07087951794204939,300
Lasso,beta_lasso,0.6,40.0,20.0,0.5,72,-0.17361068795518816,0.17361068795518816,0.05347274847771366,0.05347274847771366,300
Lasso,beta_lasso,1.0,20.0,40.0,2.0,36,-0.22811332670803844,0.22893085477586433,0.10461797631599744,0.10281062624158778,300
Lasso,beta_lasso,1.0,20.0,40.0,2.0,72,-0.22335803553626457,0.22335803553626457,0.07393121088609478,0.07393121088609478,300
Lasso,beta_lasso,1.0,30.0,30.0,1.0,36,-0.2555226616058921,0.255662404098442,0.09651653977185977,0.09614452279603694,300
Lasso,beta_lasso,1.0,30.0,30.0,1.0,72,-0.24981195927936928,0.24981195927936928,0.06783303124348268,0.06783303124348268,300
Lasso,beta_lasso,1.0,40.0,20.0,0.5,36,-0.28935837237193907,0.28935837237193907,0.09127501092540173,0.09127501092540173,300
Lasso,beta_lasso,1.0,40.0,20.0,0.5,72,-0.2825002698531643,0.2825002698531643,0.06402161090667423,0.06402161090667423,300
Lasso,beta_lasso,1.4,20.0,40.0,2.0,36,-0.3219414344824193,0.3222935672192239,0.1291251765279369,0.12824077457101424,300
Lasso,beta_lasso,1.4,20.0,40.0,2.0,72,-0.3070767525788052,0.3070767525788052,0.09616520944568889,0.09616520944568889,300
Lasso,beta_lasso,1.4,30.0,30.0,1.0,36,-0.3566853001789428,0.3566853001789428,0.12425811776896187,0.12425811776896187,300
Lasso,beta_lasso,1.4,30.0,30.0,1.0,72,-0.3444673697757409,0.3444673697757409,0.09100153895058576,0.09100153895058576,300
Lasso,beta_lasso,1.4,40.0,20.0,0.5,36,-0.4006022231084679,0.4006022231084679,0.12174262763585006,0.12174262763585006,300
Lasso,beta_lasso,1.4,40.0,20.0,0.5,72,-0.39066443504207093,0.39066443504207093,0.08806841615222287,0.08806841615222287,300
Median,beta_median,0.6,20.0,40.0,2.0,36,-0.030369137613121322,0.09011705999770946,0.10858922780238148,0.06759248595315015,300
Median,beta_median,0.6,20.0,40.0,2.0,72,-0.028132583714301884,0.0620637723311976,0.07476536797040029,0.05019118442549225,300
Median,beta_median,0.6,30.0,30.0,1.0,36,-0.06208639790089777,0.09046350811816131,0.09382383494911088,0.06677955148192592,300
