sim_id,beta_true,n,beta_ols,cover_ols,beta_odr,beta_deming,cover_deming,beta_theilsen,beta_huber,cover_huber,beta_quantile,cover_quantile,beta_sma,beta_majoraxis,beta_rma,beta_pbablok,beta_ridge,beta_lasso,beta_enet,beta_adaptive_lasso,beta_rf,beta_gb,beta_xgb,beta_lgb,beta_svm_linear,beta_svm_rbf,beta_gp,beta_lmer_int,se_lmer_int,cover_lmer_int,var_habitat,var_residual,beta_lmer_slope,se_lmer_slope,beta_clustered,se_clustered,beta_ensemble,beta_trimmed,beta_median
31,0.6,36,0.4969156890201598,1,0.5964003934685556,0.44383169867109507,1,0.5841932056144765,0.5242202629515953,1,0.5811723007729507,1,0.680564921960138,0.6043506648897038,0.680564921960138,0.569280627106082,0.4170227629122657,0.41860672854871755,0.42149923238678355,0.0779492872746596,1.0,1.0,1.0,0,0.8492623893645053,0.3862978474357039,,0.4969156890201602,0.07750329939360795,1,7.203073667147784e-06,0.16087754665907011,0.4969156890201602,0.07750329939360795,0.4969156890201598,0.47850142283568103,0.5575165217999135,0.5655226691643868,0.5242202629515953
32,0.6,36,0.5409647157619252,1,0.6519579140182796,0.48358398523101476,1,0.5829293942021971,0.5801066841643994,1,0.6061789760038263,1,0.7231417535363969,0.6593232674109721,0.7231417535363969,0.5736410125941895,0.4204508150121651,0.4221300043180585,0.4250049794209538,0.07988743196356327,1.0,1.0,1.0,0,0.7911988554979601,0.3777884659194383,,0.5409647157619255,0.07998110401983058,1,6.579466453558811e-06,0.14694954824809187,0.5409647157619255,0.07998110401983058,0.5409647157619252,0.4937992623913238,0.576709745907718,0.5886545644165238,0.5736410125941895
33,0.6,36,0.6122980573671134,1,0.7155582105957091,0.5810895887898643,1,0.6637349924339566,0.6031516396438704,1,0.6732222426674344,1,0.7631926163229408,0.7220225391450226,0.7631926163229408,0.6320489841580983,0.5241661562566184,0.5287263272637467,0.531070972401738,0.1547888929431562,1.0,1.0,1.0,0,0.8529667506876186,0.4477270225691003,,0.6122980573671138,0.07593016867752647,1,7.193898205569828e-06,0.16067261668032518,0.6122980573671138,0.07593016867752647,0.6122980573671134,0.46878899392180207,0.6350370339856639,0.6553190994066903,0.6122980573671138
34,0.6,36,0.4807247292229418,1,0.5663713824973184,0.4404617447530804,1,0.46784109094637244,0.47838906037513323,1,0.5141583391904356,1,0.6507586548742733,0.5745492270785795,0.6507586548742733,0.4871198599316116,0.45169433470212556,0.45424139955496223,0.4569566164725992,0.09905280882726471,1.0,1.0,1.0,0,0.7486584966716825,0.2931348430780558,,0.480724729222942,0.0731039141692805,1,8.033429573745745e-06,0.17942318804662413,0.480724729222942,0.0731039141692805,0.4807247292229418,0.4513398425427963,0.5329150187269363,0.534631190625909,0.480724729222942
35,0.6,36,0.5412886258671845,1,0.696552122625074,0.4897248245540152,1,0.49377195363577076,0.5075696983049861,1,0.4560861973099582,1,0.7745784654263512,0.7033223530253586,0.7745784654263512,0.50961158621212,0.4359344247995493,0.43804371437731454,0.4408395167933477,0.0890422984039005,1.0,1.0,1.0,0,0.6108330058801619,0.21626553617605873,,0.5412886258671846,0.09234272253841726,1,9.417014672450026e-06,0.21032496506088216,0.5412886258671846,0.09234272253841726,0.5412886258671845,0.5701192654876496,0.5566047246269157,0.5638350720007977,0.5412886258671845
36,0.6,36,0.4493053251663804,1,0.5393370238873746,0.39635841579567616,1,0.4979761112504385,0.47696663761321967,1,0.48084130748178194,1,0.6397288828193027,0.5476627567321032,0.6397288828193027,0.48426285062373015,0.39727602726152406,0.39831147246323306,0.40130494772461,0.06739224788956606,1.0,1.0,1.0,0,0.7732212287895754,0.4320692224106094,,0.4493053251663804,0.07589791541024885,0,7.668044977117364e-06,0.17126248052005902,0.4493053251663804,0.07589791541024885,0.4493053251663804,0.4685898638924458,0.5204199702707638,0.521171950965158,0.47696663761321967
37,0.6,36,0.58644731871916,1,0.7111393394749072,0.5619121528024714,1,0.5605981795204322,0.5582676955248761,1,0.4696691995532041,1,0.7696693150835523,0.7176655083034896,0.7696693150835523,0.5922483592262365,0.5575771556080508,0.5630654099304966,0.5652392138611906,0.1863149828279949,1.0,1.0,1.0,0,0.672590246916756,0.41044589008271687,,0.5864473187191599,0.08307800834628802,1,1.0623006718761384e-05,0.23726027777092865,0.5864473187191599,0.08307800834628802,0.58644731871916,0.5129193919624538,0.6092113582033288,0.6223971713604511,0.5864473187191599
38,0.6,36,0.4502190317156588,1,0.5693825310543614,0.3965101196246542,1,0.43966631331361655,0.4408028336010274,1,0.3844796072923968,1,0.6823966903910637,0.5775591317067974,0.6823966903910637,0.45291488540732844,0.3956708482180348,0.39666170511298016,0.3996633881721196,0.06657865641939699,1.0,1.0,1.0,0,0.5553407195557729,0.35747066080566053,,0.4502190317156586,0.08546735350375537,1,9.606037778030362e-06,0.21454671467698605,0.4502190317156586,0.08546735350375537,0.4502190317156588,0.527671087263673,0.504276995996909,0.5016732763952375,0.4502190317156586
39,0.6,36,0.3604640060163149,0,0.46272280728900206,0.2570519623487339,0,0.33736653371086395,0.39197435907243217,0,0.4219583265976672,1,0.622720914907837,0.4711638604091231,0.622720914907837,0.37678226747980065,0.2689440173281483,0.26641468447615246,0.27006436266283823,0.02090829063116209,1.0,1.0,1.0,0,0.6239405958936357,0.10049988024776738,,0.36046400601631534,0.08463106834147904,0,6.788643165715363e-06,0.15162141998339582,0.36046400601631534,0.08463106834147904,0.3604640060163149,0.5225079052678547,0.4329169479142722,0.4176937637577421,0.36046400601631534
40,0.6,36,0.4382499542826984,1,0.6672557907468533,0.34183317060904284,1,0.45649512078693405,0.48569904795504454,1,0.5019093970596116,1,0.7972782240141989,0.6744387963331481,0.7972782240141989,0.4398532010237991,0.31442841539263733,0.3131625380424329,0.31657963984321674,0.033411673269810455,1.0,1.0,1.0,0,0.5834880448907734,0.27884037027991654,,0.4382499542826977,0.11100419712515981,1,1.0799458604737393e-05,0.24120125461451117,0.4382499542826977,0.11100419712515981,0.4382499542826984,0.6853342590664218,0.5110848465822787,0.5116599893748737,0.4398532010237991
