beta_true,method,mean_est,std_est,bias,rmse,n_success
1.0,odr,1.0780087252946278,0.12290230321922536,0.07800872529462775,0.14539596775092425,300
1.0,deming,0.89970249058425,0.12203867779817254,-0.10029750941574987,0.15780806214343482,300
1.0,theilsen,0.8995660238812726,0.10668857884046634,-0.10043397611872747,0.14639499617302107,300
1.0,huber,0.8885776205210137,0.10439176764637101,-0.11142237947898631,0.1525656000892251,300
1.0,quantile,0.8911890302807515,0.12007971776841327,-0.10881096971924857,0.16189781331193825,300
1.0,sma,1.0644321445729994,0.1007406125133854,0.06443214457299916,0.11944179905076231,300
1.0,majoraxis,1.0756276023801097,0.11922091609082816,0.07562760238010967,0.14101695755897045,300
1.0,rma,1.0644321445729994,0.1007406125133854,0.06443214457299916,0.11944179905076231,300
1.0,pbablok,0.8957686806609938,0.10450818613647936,-0.10423131933900641,0.147477870760741,300
1.0,ridge,0.7340860589780508,0.09390798464289056,-0.2659139410219491,0.28195662416569506,300
1.0,lasso,0.7444773383941079,0.09651653977185976,-0.25552266160589215,0.27308647269475,300
1.0,enet,0.7457485954170229,0.09603635798195001,-0.25425140458297724,0.27172783352711444,300
1.0,adaptive_lasso,0.44587741161687044,0.16608486470357023,-0.5541225883831297,0.5783978543924102,300
1.0,rf,1.0,0.0,0.0,0.0,300
1.0,gb,1.0,0.0,0.0,0.0,300
1.0,xgb,1.0,0.0,0.0,0.0,300
1.0,lgb,0.0,0.0,-1.0,1.0,300
1.0,svm_linear,0.8186506081344523,0.07430663149372985,-0.18134939186554766,0.19593537836661637,300
1.0,svm_rbf,0.5737726019291258,0.10706176110632236,-0.4262273980708743,0.4394244055069663,300
1.0,lmer_int,0.8865045567254367,0.10268888118864485,-0.11349544327456323,0.15294140035582027,300
1.0,lmer_slope,0.8865045567254367,0.10268888118864485,-0.11349544327456323,0.15294140035582027,300
1.0,clustered,0.8865045567254369,0.10268888118864487,-0.11349544327456317,0.15294140035582024,300
1.0,ensemble,0.8419971871356694,0.0765308662294958,-0.15800281286433068,0.17550595179060136,300
1.0,trimmed,0.8816892302584175,0.07822895245755314,-0.11831076974158256,0.14176321105788758,300
1.0,median,0.8887632554796449,0.09731564685248688,-0.11123674452035506,0.14769015089051682,300
1.4,ols,1.239382172342132,0.11426202329454556,-0.1606178276578678,0.19700349530487501,300
1.4,odr,1.4759728521154012,0.13734774597859611,0.07597285211540125,0.15675903878096342,300
1.4,deming,1.316083693061494,0.13797029193571553,-0.08391630693850573,0.16128947689015957,300
1.4,theilsen,1.253602049109796,0.12530798070539953,-0.1463979508902038,0.19256715647591732,300
1.4,huber,1.2399006715787697,0.12179464330364656,-0.16009932842123,0.20103801542975186,300
1.4,quantile,1.24002807678008,0.14936456130472067,-0.15997192321992013,0.21869252955962132,300
1.4,sma,1.4098104919263656,0.11525752445704686,0.009810491926365818,0.11548273336733428,300
1.4,majoraxis,1.460790616718684,0.13267390042420604,0.06079061671868409,0.1457367091320195,300
1.4,rma,1.4098104919263656,0.11525752445704686,0.009810491926365818,0.11548273336733428,300
1.4,pbablok,1.2464606278872388,0.12026838062066945,-0.15353937211276114,0.1949117934382339,300
1.4,ridge,1.0248467349610284,0.12089979026169262,-0.37515326503897145,0.39409137141501954,300
1.4,lasso,1.0433146998210572,0.12425811776896185,-0.3566853001789428,0.3776413857914094,300
1.4,enet,1.0430992038020468,0.1236399181780715,-0.356900796197953,0.3776427565781221,300
1.4,adaptive_lasso,1.204867105777739,0.4147638176258357,-0.1951328942222609,0.45774713624198865,300
1.4,rf,1.0,0.0,-0.3999999999999999,0.39999999999999986,300
1.4,gb,1.0,0.0,-0.3999999999999999,0.39999999999999986,300
1.4,xgb,1.0,0.0,-0.3999999999999999,0.39999999999999986,300
1.4,lgb,0.0,0.0,-1.4000000000000001,1.4,300
1.4,svm_linear,0.8675465120376006,0.05988637049538383,-0.5324534879623993,0.5357995330561592,300
1.4,svm_rbf,0.8085184965409298,0.12582772998349226,-0.5914815034590702,0.6046736402183341,300
1.4,lmer_int,1.2393821723421319,0.11426202329454561,-0.16061782765786783,0.19700349530487507,300
1.4,lmer_slope,1.2393821723421319,0.11426202329454561,-0.16061782765786783,0.19700349530487507,300
1.4,clustered,1.239382172342132,0.11426202329454556,-0.1606178276578678,0.19700349530487501,300
1.4,ensemble,1.1305296092788315,0.09255243726980864,-0.26947039072116835,0.28487136033863725,300
1.4,trimmed,1.1694354725698985,0.09448718411384932,-0.23056452743010122,0.24911457172211174,300
1.4,median,1.2264790890901853,0.11618722751240129,-0.1735209109098145,0.20871986038835297,300
